# spectral wave data output
# [irregular wave components]
# nfreq 28
# ndir 0
# omega [rad/s]    a[m]       k[rad/m]        phi[rad]    theta[rad]
 5.20330E+00   3.27547E-03   2.76700E+00   0.00000E+00   0.00000E+00
 5.30140E+00   3.16007E-03   2.87080E+00   0.00000E+00   0.00000E+00
 5.39960E+00   3.04467E-03   2.97670E+00   0.00000E+00   0.00000E+00
 5.49780E+00   2.93815E-03   3.08490E+00   0.00000E+00   0.00000E+00
 5.59600E+00   2.83164E-03   3.19510E+00   0.00000E+00   0.00000E+00
 5.69410E+00   2.73399E-03   3.30750E+00   0.00000E+00   0.00000E+00
 5.79230E+00   2.64523E-03   3.42190E+00   0.00000E+00   0.00000E+00
 5.89050E+00   2.55646E-03   3.53840E+00   0.00000E+00   0.00000E+00
 5.98870E+00   2.47657E-03   3.65700E+00   0.00000E+00   0.00000E+00
 6.08680E+00   2.39668E-03   3.77760E+00   0.00000E+00   0.00000E+00
 6.18500E+00   2.31679E-03   3.90020E+00   0.00000E+00   0.00000E+00
 6.28320E+00   2.24578E-03   4.02480E+00   0.00000E+00   0.00000E+00
 6.38140E+00   2.18364E-03   4.15140E+00   0.00000E+00   0.00000E+00
 6.47950E+00   2.11263E-03   4.28000E+00   0.00000E+00   0.00000E+00
 6.57770E+00   2.05049E-03   4.41060E+00   0.00000E+00   0.00000E+00
 6.67590E+00   1.98836E-03   4.54320E+00   0.00000E+00   0.00000E+00
 6.77410E+00   1.93510E-03   4.67780E+00   0.00000E+00   0.00000E+00
 6.87220E+00   1.88184E-03   4.81430E+00   0.00000E+00   0.00000E+00
 6.97040E+00   1.82858E-03   4.95280E+00   0.00000E+00   0.00000E+00
 7.06860E+00   1.77532E-03   5.09330E+00   0.00000E+00   0.00000E+00
 7.16680E+00   1.73094E-03   5.23580E+00   0.00000E+00   0.00000E+00
 7.26490E+00   1.67768E-03   5.38020E+00   0.00000E+00   0.00000E+00
 7.36310E+00   1.63329E-03   5.52660E+00   0.00000E+00   0.00000E+00
 7.46130E+00   1.59779E-03   5.67490E+00   0.00000E+00   0.00000E+00
 7.55950E+00   1.55341E-03   5.82520E+00   0.00000E+00   0.00000E+00
 7.65760E+00   1.51790E-03   5.97750E+00   0.00000E+00   0.00000E+00
 7.75580E+00   1.47352E-03   6.13180E+00   0.00000E+00   0.00000E+00
 7.85400E+00   1.43801E-03   6.28800E+00   0.00000E+00   0.00000E+00
