# spectral wave data output
# [irregular wave components]
# nfreq 200
# ndir 0
# omega [rad/s]    a[m]       k[rad/m]        phi[rad]    theta[rad]
 9.77430E-02   1.87597E-01   3.61518E-03  -1.18924E+00  -1.57080E+00
 9.77430E-02   1.87597E-01   3.61518E-03   1.18924E+00   1.57080E+00
 1.36571E-01   1.65664E-01   5.11264E-03   2.38774E+00  -7.85398E-01
 1.36571E-01   2.41807E-01   5.11264E-03   4.54020E+00   7.85398E-01
 1.88757E-01   1.35198E-01   7.23036E-03   5.25488E+00  -0.00000E+00
 2.08741E-01   1.16360E-01   8.08379E-03  -2.86391E+00  -1.10715E+00
 2.08741E-01   2.19529E-01   8.08379E-03   5.88970E+00  -4.63648E-01
 2.08741E-01   3.46162E-01   8.08379E-03   7.62774E+00   4.63648E-01
 2.56013E-01   2.87522E-01   1.02253E-02   4.24342E-01  -7.85398E-01
 2.56013E-01   9.21416E-02   1.02253E-02   1.25900E+01   7.85398E-01
 2.68922E-01   8.94838E-01   1.08455E-02   8.96488E+00  -0.00000E+00
 2.80809E-01   3.86163E-01   1.14322E-02   3.56357E+00  -3.21751E-01
 2.80809E-01   1.77793E-01   1.14322E-02   1.22018E+01   3.21751E-01
 3.11708E-01   1.66505E-01   1.30347E-02   7.78353E-01  -5.88003E-01
 3.11708E-01   2.24970E-01   1.30347E-02   1.36430E+01   5.88003E-01
 3.37346E-01   1.35610E+00   1.44607E-02   1.37211E+01  -0.00000E+00
 3.45006E-01   1.20063E+00   1.49058E-02   6.93428E+00  -2.44979E-01
 3.45006E-01   6.76429E-01   1.49058E-02   1.30379E+01   2.44979E-01
 3.52295E-01   3.95807E-01   1.53379E-02   2.41303E+00  -7.85398E-01
 3.52295E-01   8.19714E-02   1.53379E-02   1.93969E+01   7.85398E-01
 3.65889E-01   1.30157E+00   1.61676E-02   7.10181E+00  -4.63648E-01
 3.65889E-01   6.37840E-01   1.61676E-02   1.70745E+01   4.63648E-01
 3.95290E-01   1.34568E-01   1.80759E-02  -1.14797E+00  -9.27295E-01
