# CFDwavemaker probe 0, x= 0.000 , y= 0.000 , z= 0.000 
#         Time       wave_elev               u               v               w
        0.0000          1.6439          0.9868         -0.8244         -4.3120
        0.1200          1.1006          0.7447         -0.7639         -4.2492
        0.2400          0.5572          0.5026         -0.7034         -4.1863
        0.3600          0.0138          0.2605         -0.6429         -4.1235
        0.4200         -0.2579          0.1394         -0.6126         -4.0921
        0.5400         -0.8012         -0.1027         -0.5521         -4.0292
        0.6000         -1.0729         -0.2237         -0.5219         -3.9978
        0.7200         -1.6163         -0.4658         -0.4614         -3.9349
        0.8400         -2.1596         -0.7079         -0.4008         -3.8721
        0.9000         -2.4313         -0.8290         -0.3706         -3.8407
        1.0200         -2.9457         -1.0586         -0.3087         -3.7648
        1.1400         -3.3153         -1.2259         -0.2402         -3.6239
        1.2000         -3.5001         -1.3096         -0.2060         -3.5534
        1.3200         -3.8696         -1.4769         -0.1374         -3.4125
        1.4400         -4.2392         -1.6442         -0.0689         -3.2716
        1.5600         -4.6087         -1.8115         -0.0004         -3.1307
        1.6200         -4.7935         -1.8952          0.0339         -3.0602
        1.7400         -5.1630         -2.0625          0.1024         -2.9193
        1.8600         -5.5326         -2.2298          0.1709         -2.7784
        1.9200         -5.7174         -2.3134          0.2052         -2.7079
        2.0400         -6.0249         -2.4551          0.2707         -2.5616
        2.1600         -6.2084         -2.5455          0.3304         -2.4044
        2.2200         -6.3001         -2.5907          0.3602         -2.3259
        2.3400         -6.4835         -2.6812          0.4199         -2.1687
        2.4600         -6.6670         -2.7716          0.4795         -2.0116
        2.5200         -6.7587         -2.8168          0.5094         -1.9330
        2.6400         -6.9422         -2.9072          0.5690         -1.7759
        2.7600         -7.1256         -2.9977          0.6287         -1.6187
        2.8200         -7.2173         -3.0429          0.6585         -1.5402
        2.9400         -7.4008         -3.1333          0.7182         -1.3830
        3.0600         -7.5164         -3.1884          0.7691         -1.2299
        3.1200         -7.5402         -3.1982          0.7901         -1.1554
        3.2400         -7.5880         -3.2179          0.8322         -1.0064
        3.3600         -7.6357         -3.2376          0.8744         -0.8573
        3.4200         -7.6596         -3.2475          0.8954         -0.7828
        3.5400         -7.7073         -3.2672          0.9376         -0.6338
        3.6600         -7.7550         -3.2869          0.9797         -0.4848
        3.7200         -7.7789         -3.2967          1.0008         -0.4102
        3.8400         -7.8267         -3.3164          1.0429         -0.2612
        3.9600         -7.8744         -3.3361          1.0850         -0.1122
        4.0200         -7.8815         -3.3365          1.1019         -0.0417
        4.1400         -7.8287         -3.2991          1.1190          0.0833
        4.2600         -7.7760         -3.2616          1.1361          0.2083
        4.3200         -7.7496         -3.2429          1.1447          0.2708
        4.4400         -7.6968         -3.2055          1.1618          0.3958
        4.5000         -7.6704         -3.1868          1.1703          0.4583
        4.6200         -7.6177         -3.1493          1.1874          0.5833
        4.7400         -7.5649         -3.1119          1.2045          0.7083
        4.8000         -7.5385         -3.0932          1.2131          0.7708
        4.9200         -7.4857         -3.0558          1.2302          0.8958
        5.0400         -7.4022         -3.0047          1.2378          1.0112
        5.1000         -7.3296         -2.9656          1.2322          1.0593
        5.2200         -7.1845         -2.8873          1.2209          1.1555
        5.3400         -7.0394         -2.8091          1.2096          1.2517
        5.4000         -6.9668         -2.7699          1.2040          1.2998
        5.5200         -6.8217         -2.6917          1.1927          1.3960
        5.6400         -6.6766         -2.6134          1.1814          1.4922
        5.7000         -6.6040         -2.5743          1.1758          1.5403
        5.8200         -6.4589         -2.4960          1.1645          1.6365
        5.9400         -6.3138         -2.4178          1.1532          1.7328
        6.0000         -6.2412         -2.3786          1.1476          1.7809
        6.1200         -6.0117         -2.2725          1.1101          1.8494
        6.2400         -5.7822         -2.1663          1.0725          1.9180
        6.3000         -5.6675         -2.1133          1.0537          1.9523
        6.4200         -5.4380         -2.0071          1.0162          2.0209
        6.5400         -5.2086         -1.9010          0.9786          2.0895
        6.6000         -5.0938         -1.8479          0.9598          2.1237
        6.7200         -4.8643         -1.7417          0.9223          2.1923
        6.8400         -4.6349         -1.6356          0.8847          2.2609
        6.9000         -4.5201         -1.5825          0.8659          2.2952
        7.0200         -4.2797         -1.4733          0.8254          2.3595
        7.1400         -3.9842         -1.3488          0.7701          2.4029
        7.2000         -3.8364         -1.2866          0.7425          2.4246
        7.3200         -3.5410         -1.1622          0.6872          2.4679
        7.4400         -3.2455         -1.0377          0.6319          2.5113
        7.5000         -3.0977         -0.9755          0.6042          2.5330
        7.6200         -2.8023         -0.8510          0.5489          2.5763
        7.7400         -2.5068         -0.7266          0.4936          2.6197
        7.8000         -2.3590         -0.6644          0.4660          2.6414
        7.9200         -2.0636         -0.5399          0.4106          2.6847
        8.0400         -1.7530         -0.4110          0.3552          2.7186
        8.1000         -1.5826         -0.3421          0.3274          2.7260
        8.2200         -1.2418         -0.2042          0.2718          2.7408
        8.3400         -0.9010         -0.0663          0.2162          2.7556
        8.4000         -0.7306          0.0027          0.1884          2.7630
        8.5200         -0.3898          0.1405          0.1328          2.7778
        8.6400         -0.0490          0.2784          0.0772          2.7926
        8.7000          0.1215          0.3474          0.0494          2.8000
        8.8200          0.4623          0.4852         -0.0062          2.8148
        8.9400          0.8031          0.6231         -0.0618          2.8296
        9.0000          0.9735          0.6921         -0.0896          2.8370
