# CFDwavemaker probe 2, x= 0.000 , y= 5.400 , z= -10.000 
#         Time       wave_elev               u               v               w
        0.0000          1.4093          0.7852         -0.5613         -3.3744
        0.1200          0.8526          0.5818         -0.5195         -3.3552
        0.2400          0.2959          0.3784         -0.4776         -3.3360
        0.3600         -0.2608          0.1751         -0.4358         -3.3168
        0.4200         -0.5392          0.0734         -0.4149         -3.3072
        0.5400         -1.0959         -0.1300         -0.3730         -3.2880
        0.6000         -1.3742         -0.2317         -0.3521         -3.2785
        0.7200         -1.9309         -0.4351         -0.3102         -3.2593
        0.8400         -2.4876         -0.6384         -0.2684         -3.2401
        0.9000         -2.7660         -0.7401         -0.2475         -3.2305
        1.0200         -3.2912         -0.9378         -0.2036         -3.1981
        1.1400         -3.6591         -1.1070         -0.1495         -3.0997
        1.2000         -3.8430         -1.1916         -0.1225         -3.0505
        1.3200         -4.2109         -1.3609         -0.0685         -2.9520
        1.4400         -4.5788         -1.5301         -0.0144         -2.8536
        1.5600         -4.9466         -1.6993          0.0396         -2.7551
        1.6200         -5.1306         -1.7839          0.0667         -2.7059
        1.7400         -5.4984         -1.9531          0.1207         -2.6075
        1.8600         -5.8663         -2.1223          0.1748         -2.5090
        1.9200         -6.0502         -2.2069          0.2018         -2.4598
        2.0400         -6.3530         -2.3528          0.2558         -2.3462
        2.1600         -6.5255         -2.4520          0.3097         -2.2024
        2.2200         -6.6118         -2.5015          0.3366         -2.1305
        2.3400         -6.7843         -2.6007          0.3905         -1.9867
        2.4600         -6.9569         -2.6999          0.4444         -1.8429
        2.5200         -7.0431         -2.7495          0.4713         -1.7710
        2.6400         -7.2157         -2.8486          0.5252         -1.6272
        2.7600         -7.3882         -2.9478          0.5791         -1.4833
        2.8200         -7.4745         -2.9974          0.6061         -1.4114
        2.9400         -7.6470         -3.0965          0.6599         -1.2676
        3.0600         -7.7509         -3.1560          0.7070         -1.1220
        3.1200         -7.7685         -3.1658          0.7271         -1.0484
        3.2400         -7.8037         -3.1855          0.7673         -0.9011
        3.3600         -7.8389         -3.2052          0.8076         -0.7537
        3.4200         -7.8565         -3.2151          0.8277         -0.6801
        3.5400         -7.8917         -3.2348          0.8679         -0.5328
